训练数据集地址:./parameters/descriptors/i_184320_densenet169_all_descs.npy
模型参数地址:densenet169_4096_autoencoder_cnn.pth
下载数据集共耗时:997.017653465271
样本均值为:[[0.02701244]
 [0.03760898]
 [0.03907172]
 ...
 [0.02694497]
 [0.02781184]
 [0.03087349]]
样本方差为:[[0.08105158]
 [0.08978084]
 [0.09047502]
 ...
 [0.07909249]
 [0.08256822]
 [0.08368462]]
标准化数据集共耗时:167.53226351737976
训练autoencoder数据集大小为:torch.Size([29535, 1280, 12, 12])
epoch [5/500], loss:0.6047
epoch [10/500], loss:0.4199
epoch [15/500], loss:0.3094
epoch [20/500], loss:0.2398
epoch [25/500], loss:0.1942
epoch [30/500], loss:0.1648
epoch [35/500], loss:0.1457
epoch [40/500], loss:0.1336
epoch [45/500], loss:0.1260
epoch [50/500], loss:0.1211
epoch [55/500], loss:0.1176
epoch [60/500], loss:0.1153
epoch [65/500], loss:0.1138
epoch [70/500], loss:0.1126
epoch [75/500], loss:0.1116
epoch [80/500], loss:0.1109
epoch [85/500], loss:0.1102
epoch [90/500], loss:0.1096
epoch [95/500], loss:0.1090
epoch [100/500], loss:0.1085
epoch [105/500], loss:0.1081
epoch [110/500], loss:0.1078
epoch [115/500], loss:0.1074
epoch [120/500], loss:0.1071
epoch [125/500], loss:0.1068
epoch [130/500], loss:0.1065
epoch [135/500], loss:0.1063
epoch [140/500], loss:0.1062
epoch [145/500], loss:0.1059
epoch [150/500], loss:0.1058
epoch [155/500], loss:0.1056
epoch [160/500], loss:0.1055
epoch [165/500], loss:0.1053
epoch [170/500], loss:0.1052
epoch [175/500], loss:0.1050
epoch [180/500], loss:0.1049
epoch [185/500], loss:0.1048
epoch [190/500], loss:0.1047
epoch [195/500], loss:0.1046
epoch [200/500], loss:0.1046
epoch [205/500], loss:0.1045
epoch [210/500], loss:0.1044
epoch [215/500], loss:0.1042
epoch [220/500], loss:0.1042
epoch [225/500], loss:0.1040
epoch [230/500], loss:0.1040
epoch [235/500], loss:0.1039
epoch [240/500], loss:0.1039
epoch [245/500], loss:0.1038
epoch [250/500], loss:0.1037
epoch [255/500], loss:0.1037
epoch [260/500], loss:0.1036
epoch [265/500], loss:0.1035
epoch [270/500], loss:0.1035
epoch [275/500], loss:0.1034
epoch [280/500], loss:0.1033
epoch [285/500], loss:0.1032
epoch [290/500], loss:0.1033
epoch [295/500], loss:0.1031
epoch [300/500], loss:0.1031
epoch [305/500], loss:0.1030
epoch [310/500], loss:0.1030
epoch [315/500], loss:0.1029
epoch [320/500], loss:0.1029
epoch [325/500], loss:0.1029
epoch [330/500], loss:0.1028
epoch [335/500], loss:0.1027
epoch [340/500], loss:0.1027
epoch [345/500], loss:0.1027
epoch [350/500], loss:0.1027
epoch [355/500], loss:0.1025
epoch [360/500], loss:0.1025
epoch [365/500], loss:0.1025
epoch [370/500], loss:0.1025
epoch [375/500], loss:0.1024
epoch [380/500], loss:0.1024
epoch [385/500], loss:0.1024
epoch [390/500], loss:0.1023
epoch [395/500], loss:0.1023
epoch [400/500], loss:0.1022
epoch [405/500], loss:0.1023
epoch [410/500], loss:0.1022
epoch [415/500], loss:0.1021
epoch [420/500], loss:0.1020
epoch [425/500], loss:0.1021
epoch [430/500], loss:0.1020
epoch [435/500], loss:0.1020
epoch [440/500], loss:0.1019
epoch [445/500], loss:0.1020
epoch [450/500], loss:0.1019
epoch [455/500], loss:0.1019
epoch [460/500], loss:0.1018
epoch [465/500], loss:0.1018
epoch [470/500], loss:0.1017
epoch [475/500], loss:0.1017
epoch [480/500], loss:0.1017
epoch [485/500], loss:0.1017
epoch [490/500], loss:0.1017
epoch [495/500], loss:0.1017
epoch [500/500], loss:0.1016
训练autoencoder模型参数共耗时:39235.89148402214
